,Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2017,Tot_Dsg_Unts_2017,Tot_Clms_2017,Tot_Benes_2017,Avg_Spnd_Per_Dsg_Unt_Wghtd_2017,Avg_Spnd_Per_Clm_2017,Avg_Spnd_Per_Bene_2017,Outlier_Flag_2017,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Avg_Spnd_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Chg_Avg_Spnd_Per_Dsg_Unt_20_21,CAGR_Avg_Spnd_Per_Dsg_Unt_17_21
0,1ST TIER UNIFINE PENTIPS,"Pen Needle, Diabetic",1,Owen Mumford Us,217938.04,1014318.0,8595.0,3025.0,0.216104703,25.35637464,72.04563306,0.0,167193.78,761658.0,6538.0,2341.0,0.219784789,25.57261854,71.41981205,0.0,139201.68,642471.0,5392.0,1878.0,0.216787924,25.81633531,74.12230032,0.0,118923.24,547006.0,4457.0,1595.0,0.217701046,26.68235136,74.56002508,0.0,102280.76,459384.0,3708,1313.0,0.223001254,27.58380798,77.89852247,0,0.024346268,0.007884512
1,1ST TIER UNIFINE PENTIPS PLUS,"Pen Needle, Diabetic",1,Owen Mumford Us,402124.68,1850703.0,15403.0,5967.0,0.217359421,26.10690645,67.39143288,0.0,369402.85,1813908.0,14931.0,5674.0,0.203657836,24.74066372,65.10448537,0.0,343031.42,1830596.0,14581.0,5319.0,0.187388804,23.52591866,64.49171273,0.0,210217.15,1046616.0,8408.0,3905.0,0.200851195,25.00203972,53.8328169,0.0,131927.33,566872.0,4564,1766.0,0.232811541,28.90607581,74.70403737,0,0.1591245,0.017317486
2,ABACAVIR-LAMIVUDINE-ZIDOVUDINE,Abacavir/Lamivudine/Zidovudine,1,Lupin Pharmaceu,10158493.71,468341.0,7451.0,971.0,21.69037883,1363.3732,10461.88848,0.0,6955321.12,330735.0,5298.0,710.0,21.02989136,1312.820144,9796.22693,0.0,4849598.99,225020.0,3648.0,493.0,21.55185757,1329.385688,9836.914787,0.0,2085404.63,96333.0,1585.0,290.0,21.64787383,1315.7127,7191.050448,0.0,146795.2,7002.0,118,32.0,20.96475293,1244.027119,4587.35,0,-0.031556028,-0.00847047
3,ACCOLATE,Zafirlukast,1,Par Pharmaceuti,374889.01,100896.0,1082.0,190.0,3.715295657,346.4778281,1973.100053,0.0,335122.21,89645.0,951.0,166.0,3.738054399,352.389285,2018.808494,0.0,267173.42,70926.0,731.0,141.0,3.766543184,365.4903146,1894.84695,0.0,241732.21,64927.0,635.0,121.0,3.723138448,380.6806457,1997.78686,0.0,217404.57,57295.0,521,103.0,3.794640321,417.2832438,2110.723981,0,0.019204731,0.005296821
4,ACCUPRIL,Quinapril HCl,1,Pfizer US Pharm,2577686.04,633391.0,8084.0,1728.0,4.06853494,318.8626967,1491.716458,0.0,2823256.85,609380.0,7383.0,1640.0,4.633250924,382.3996817,1721.498079,0.0,2657878.87,575596.0,6757.0,1518.0,4.617106115,393.3519121,1750.908347,0.0,2298518.54,500787.0,5639.0,1311.0,4.590090815,407.6110197,1753.255942,0.0,1802400.49,386511.0,4302,1045.0,4.665906587,418.9680358,1724.785158,0,0.016517271,0.034843074
5,ACCURETIC,Quinapril/Hydrochlorothiazide,1,Pfizer US Pharm,328466.3,84291.0,985.0,256.0,3.896435073,333.4683249,1283.071484,0.0,354071.71,80439.0,932.0,229.0,4.402074636,379.9052682,1546.164673,0.0,311595.63,70847.0,776.0,211.0,4.397698703,401.5407603,1476.75654,0.0,256406.1,59908.0,643.0,169.0,4.282600166,398.7653188,1517.195858,0.0,162706.28,37158.0,389,119.0,4.375711255,418.268072,1367.279664,0,0.021741719,0.029426403
6,ACETAMIN-CAFF-DIHYDROCODEINE,Acetaminophen/Caff/Dihydrocod,1,Xspire Pharma,514160.74,215347.0,2261.0,1130.0,2.38759184,227.4041309,455.0095044,0.0,507947.64,203714.0,2277.0,1070.0,2.49343511,223.0775758,474.7174206,0.0,581219.08,221226.0,2783.0,1205.0,2.627263884,208.8462379,482.3394855,0.0,562256.15,203536.0,2547.0,950.0,2.762440797,220.7523165,591.848579,0.0,554132.58,196648.0,2524,797.0,2.817890749,219.5453962,695.2729988,0,0.020072811,0.042295869
7,ACIPHEX,Rabeprazole Sodium,1,Eisai/ Woodward,25305061.08,1495019.0,21943.0,4461.0,16.92624715,1153.217932,5672.508648,0.0,22178234.16,1299928.0,18579.0,3781.0,17.06112505,1193.725936,5865.70594,0.0,19678260.33,1153216.0,15888.0,3324.0,17.0638114,1238.561199,5920.054251,0.0,18095334.51,1065105.0,13926.0,2940.0,16.98924943,1299.392109,6154.875684,0.0,16176125.3,906690.0,11451,2504.0,17.84085553,1412.63866,6460.113938,0,0.050126176,0.013243321
8,ACTEMRA*,Tocilizumab,1,"Genentech, Inc.*",86368360.18,151287.1,27269.0,4696.0,906.7850112,3167.272734,18391.89953,0.0,130523440.2,185715.59,36098.0,5786.0,1015.824693,3615.808083,22558.49295,0.0,132676233.6,198566.9,35738.0,5446.0,1017.941604,3712.469462,24362.14352,0.0,127856836.2,191010.1,32917.0,4668.0,1050.279983,3884.218981,27390.06773,0.0,123904981.2,186777.1,32334,5123.0,1095.350644,3832.033809,24186.02014,0,0.042912996,0.048364264
9,ACTHAR,Corticotropin,1,Mallinckrodt Ph,680601944.7,92590.0,12481.0,2839.0,7350.706822,54531.04276,239732.9851,0.0,724638118.9,90830.0,11907.0,2475.0,7977.960134,60858.16066,292783.0784,0.0,668892380.3,82995.0,10968.0,2102.0,8059.429848,60985.81147,318217.1172,0.0,621884161.4,74430.0,9857.0,1668.0,8355.289016,63090.61189,372832.2311,0.0,431097613.9,50945.0,6667,1158.0,8462.020098,64661.40901,372277.7322,0,0.012774074,0.03582464
