Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng,Tot_Dsg_Unts,Tot_Clms,Tot_Benes,Avg_Spnd_Per_Dsg_Unt_Wghtd,Avg_Spnd_Per_Clm,Avg_Spnd_Per_Bene,Outlier_Flag,year
ABELCET,Amphotericin B Lipid Complex,1,Leadiant Biosci,675695.03,68490.0,420.0,137.0,9.8656012557,1608.7976905,4932.0805109,0.0,2017
ABILIFY,Aripiprazole,1,Otsuka America,37757403.48,1158482.5,32241.0,6955.0,32.723650038,1171.0990193,5428.8143034,0.0,2017
ABILIFY MAINTENA,Aripiprazole,1,Otsuka America,261850803.04,138042.611,137385.0,19543.0,1896.9635692,1905.9635553,13398.700457,0.0,2017
ABRAXANE,Paclitaxel Protein-Bound,1,Celgene/BMS,4693801.6,3783.0,710.0,197.0,1240.7617235,6610.988169,23826.404061,0.0,2017
ABSORICA,Isotretinoin,1,Sun Pharmaceuti,379410.66,11460.0,246.0,108.0,33.10201751,1542.3197561,3513.0616667,0.0,2017
ACCOLATE,Zafirlukast,1,Par Pharmaceuti,374889.01,100896.0,1082.0,190.0,3.7152956571,346.4778281,1973.1000526,0.0,2017
ACCUPRIL,Quinapril HCl,1,Pfizer US Pharm,2577686.04,633391.0,8084.0,1728.0,4.06853494,318.86269668,1491.7164583,0.0,2017
ACCURETIC,Quinapril/Hydrochlorothiazide,1,Pfizer US Pharm,328466.3,84291.0,985.0,256.0,3.8964350726,333.46832487,1283.0714844,0.0,2017
ACIPHEX,Rabeprazole Sodium,1,Eisai/ Woodward,25305061.08,1495019.0,21943.0,4461.0,16.926247145,1153.2179319,5672.5086483,0.0,2017
ACTONEL,Risedronate Sodium,1,Actavis/Allerga,4832386.05,55641.0,9757.0,2228.0,157.88730385,495.2737573,2168.9344928,0.0,2017
ACTOPLUS MET,Pioglitazone HCl/Metformin HCl,1,Takeda Pharmace,609761.63,64831.0,712.0,161.0,9.4051554933,856.40678371,3787.3393168,0.0,2017
ACTOS,Pioglitazone HCl,1,Takeda Pharmace,3428174.99,195724.0,3750.0,808.0,17.554024874,914.17999733,4242.7908292,0.0,2017
ACULAR,Ketorolac Tromethamine,1,Allergan Inc.,104264.23,2805.0,429.0,220.0,37.170848485,243.04016317,473.92831818,0.0,2017
ACULAR LS,Ketorolac Tromethamine,1,Allergan Inc.,62510.71,1300.0,207.0,97.0,48.085161538,301.98410628,644.44030928,0.0,2017
ACUVAIL,Ketorolac Tromethamine/PF,1,Allergan Inc.,349931.47,38222.0,826.0,408.0,9.1552370363,423.64584746,857.67517157,0.0,2017
ADCIRCA,Tadalafil,1,Eli Lilly & Co.,322356155.17,5321699.7,87112.0,10391.0,60.573909341,3700.4793274,31022.630658,0.0,2017
ADDERALL,Dextroamphetamine/Amphetamine,1,Teva USA,3147667.74,534585.0,7397.0,1364.0,5.8872705142,425.53301879,2307.6742962,0.0,2017
ADDERALL XR,Dextroamphetamine/Amphetamine,1,Shire US Inc.,7763038.82,1551403.0,31622.0,5939.0,5.050035958,245.49487129,1307.1289476,0.0,2017
ADEMPAS,Riociguat,1,"Bayer,Pharm Div",240915174.61,2267129.0,26191.0,3109.0,106.26327164,9198.3954263,77489.602641,0.0,2017
ADLYXIN,Lixisenatide,1,Sanofi-Aventis,24669.45,270.0,28.0,13.0,91.639936656,881.05178571,1897.65,1.0,2017
ADRENALIN,Epinephrine,1,Par Pharmaceuti,8113.79,1403.0,265.0,170.0,13.773347867,30.618075472,47.728176471,0.0,2017
ADVAIR DISKUS,Fluticasone Propion/Salmeterol,1,Glaxosmithkline,2373802297.4,381676276.38,4879510.0,1134814.0,6.2213308109,486.48374477,2091.7985656,0.0,2017
ADVAIR HFA,Fluticasone Propion/Salmeterol,1,Glaxosmithkline,227793799.81,6775146.8,459715.0,120357.0,33.606244714,495.51091396,1892.6510283,0.0,2017
ADZENYS XR-ODT,Amphetamine,1,Neos Brands/Ayt,188108.25,19082.0,575.0,187.0,9.8579214675,327.14478261,1005.9264706,0.0,2017
AFINITOR,Everolimus,1,Novartis,344795728.16,725465.0,25473.0,5540.0,475.37470353,13535.733057,62237.496058,0.0,2017
AFINITOR DISPERZ,Everolimus,1,Novartis,3143771.66,6666.0,119.0,26.0,475.65974193,26418.249244,120914.29462,0.0,2017
AFREZZA,"Insulin Regular, Human",1,Mannkind Corpor,1940792.28,501678.0,2609.0,739.0,3.8351819938,743.88358758,2626.2412449,0.0,2017
AGGRENOX,Aspirin/Dipyridamole,1,Boehringer Ing.,57404197.15,6918507.867,101104.0,19718.0,8.2971933043,567.77374931,2911.2586038,0.0,2017
